Страховая;Программа (из наших списков);Пациентов;Условия найдены;Чем закрыто;Файл/ссылка
Ингосстрах;«Поликлиника» (+«Помощь на территории России», 19 комбинаций);~2800;частично;правила ДМС ×3 (PDF 2020–2023), текста программы нет;programs/ingosstrah_dms_pravila.pdf
Ингосстрах;«Специализированная стоматология»;~700;частично;правила + офиц. страница (покрытие 100/80%);programs/ingosstrah_dms.pdf
СОГАЗ;«Амб. взрослые»;~2100;ДА;корп. программа ВШЭ (полный текст) + правила;https://www.hse.ru/medical/dms
СОГАЗ;«Стоматология в ЛПУ»;~1900;ДА;офиц. уровни ЛПУ/ЛИК + программа с франшизой (PDF);programs/sogaz_programma_dms_franshiza.pdf
РЕСО;«Амбулаторная помощь»;~330;частично;корп. страница + правила (PDF 2020);programs/reso_life_rules_dms.pdf
РЕСО;«Стоматологическая помощь (уровень 1/2)»;~240;ДА;офиц. корп. стоматология: перечни, лимит до 1 млн;https://reso.ru/corporate/medicine/stomatology/
АльфаСтрахование;«Томск_Максимум_2г/3г»;~100;НЕТ;корпоративный тариф — публично не существует, ждём от клиники;—
АльфаСтрахование;«Томск_Премиум_2г/3г»;~45;НЕТ;— " —;—
АльфаСтрахование;«Томск_Оптимум_3г» и пр. (всего 37 вариаций);~60;НЕТ;только общие правила ДМС ×2 (PDF 2024);programs/alfa_pravila_dms.pdf
Энергогарант;(программы в списках не указаны);—;НЕТ;—;—
Росгосстрах/ВСК/Зетта/Совкомбанк/Лучи/Астра-Волга/Балт;(программ в списках нет — работают через ГП);—;—;объём несут сами ГП;—
