Страховая;Страховая программа (только списки прикрепления/открепления, БЕЗ ГП);Пациентов
АО «АльфаСтрахование»;Томск...;41
АО «АльфаСтрахование»;Томск_Максимум_3г;38
АО «АльфаСтрахование»;Томск_Премиум_3г;25
АО «АльфаСтрахование»;Томск_Максимум_2г;18
АО «АльфаСтрахование»;Томск_Премиум_2г;16
АО «АльфаСтрахование»;Томск;13
АО «АльфаСтрахование»;Томск_Оптимум_3г;12
АО «АльфаСтрахование»;Томск..;12
АО «АльфаСтрахование»;26_2026_Томск;12
АО «АльфаСтрахование»;ДМС сотрудники Регион Томск;7
АО «АльфаСтрахование»;490 (Томск);6
АО «АльфаСтрахование»;Томск.;4
АО «АльфаСтрахование»;ДМС сотрудники Регион Томск_франшиза;4
АО «АльфаСтрахование»;26_2026_Р_Томск_НС;4
АО «АльфаСтрахование»;12_2г;4
АО «АльфаСтрахование»;Томская область_2г.;3
АО «АльфаСтрахование»;Томск_Оптимум;3
АО «АльфаСтрахование»;ДМС дети 1-18 Регион Томск;3
АО «АльфаСтрахование»;Томск Престиж;2
АО «АльфаСтрахование»;Томск Бизнес;2
АО «АльфаСтрахование»;Томск + Братск;2
АО «АльфаСтрахование»;ДМС дети 1-18 Регион Томск ГЛ_франшиза;2
АО «АльфаСтрахование»;Томская область;1
АО «АльфаСтрахование»;Томск_сотрудник;1
АО «АльфаСтрахование»;Томск_Стандарт_5;1
АО «АльфаСтрахование»;Томск_Стандарт_4;1
АО «АльфаСтрахование»;Томск_Премиум_2г.;1
АО «АльфаСтрахование»;Томск_Оптимум_2;1
АО «АльфаСтрахование»;Томск_Максимум_2г.;1
АО «АльфаСтрахование»;Томск_Максимум;1
АО «АльфаСтрахование»;Томск_2г;1
АО «АльфаСтрахование»;Томск ФРАНШИЗА В ЛК..;1
АО «АльфаСтрахование»;Стандарт Томск_1429;1
АО «АльфаСтрахование»;ДМС дети 18-23 Регион Томск ГЛ_франшиза;1
АО «АльфаСтрахование»;ДМС дети 18-23 Регион Томск;1
АО «АльфаСтрахование»;57 Томск Взрослые_2г;1
АО «АльфаСтрахование»;57 Томск Взрослые;1
АО «СОГАЗ»;"Амб. взрослые; Стоматология в ЛПУ";1760
АО «СОГАЗ»;Амб. взрослые;328
АО «СОГАЗ»;Стоматология в ЛПУ;146
АО «СОГАЗ»;"Амб. дети от 1 до 18 лет; Стоматология в ЛПУ";19
АО «СОГАЗ»;Амб. дети от 1 до 18 лет;10
АО «СОГАЗ»;"Амб. дети от 0 до 1 года; Амб. дети от 1 до 18 лет; Стоматология в ЛПУ";1
ПАО «САК «ЭНЕРГОГАРАНТ»;открепление от медицинского обслуживания;1
СПАО «Ингосстрах»;"""Поликлиника"" + ""Поликлиническая помощь на территории России"" ""Специализированная стоматол";1166
СПАО «Ингосстрах»;"""Поликлиника"" + ""Поликлиническая помощь на территории России""";842
СПАО «Ингосстрах»;"""Специализированная стоматология""";683
СПАО «Ингосстрах»;Поликлиника + Поликлиническая помощь на территории России Специализированная стоматология;554
СПАО «Ингосстрах»;Поликлиника + Поликлиническая помощь на территории России;112
СПАО «Ингосстрах»;Поликлиника + Поликлиническая помощь на территории России Специализированная стоматология;44
СПАО «Ингосстрах»;Поликлиника для детей + Поликлиническая помощь на территории России;34
СПАО «Ингосстрах»;"""Специализированная стоматология"" ""Поликлиника"" + ""Поликлиническая помощь на территории Ро";34
СПАО «Ингосстрах»;"""Поликлиника для детей"" + ""Поликлиническая помощь на территории России""";18
СПАО «Ингосстрах»;"""Поликлиника"" + ""Поликлиническая помощь на территории России"" + Телемедицина Базис+ + ""Реа";16
СПАО «Ингосстрах»;"""Поликлиника"" ""Специализированная стоматология""";14
СПАО «Ингосстрах»;"""Специализированная стоматология (Эконом) для Евракор (для 4-х зубов)""";10
СПАО «Ингосстрах»;Специализированная стоматология Поликлиника + Поликлиническая помощь на территории России;8
СПАО «Ингосстрах»;Поликлиника;8
СПАО «Ингосстрах»;Специализированная стоматология;6
СПАО «Ингосстрах»;Поликлиника Специализированная стоматология;6
СПАО «Ингосстрах»;Специализированная стоматология Поликлиника + Поликлиническая помощь на территории России;4
СПАО «Ингосстрах»;"""Поликлиника""";4
СПАО «Ингосстрах»;"""Поликлиника для детей""";2
СПАО «РЕСО-Гарантия»;АМБУЛАТОРНАЯ ПОМОЩЬ, СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ (уровень стом. услуг 2);219
СПАО «РЕСО-Гарантия»;АМБУЛАТОРНАЯ ПОМОЩЬ;108
СПАО «РЕСО-Гарантия»;СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ (уровень стом. услуг 2);22
